level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2226	1966	-1	
2	1	1	0	0	0	531	306	51	24	-1	
3	1	1	1	0	0	531	306	51	24	-1	
4	1	1	1	1	0	531	306	51	24	-1	
5	1	1	1	1	1	531	306	51	24	96.769173	016
2	1	2	0	0	0	702	306	50	24	-1	
3	1	2	1	0	0	702	306	50	24	-1	
4	1	2	1	1	0	702	306	50	24	-1	
5	1	2	1	1	1	702	306	50	24	96.491592	017
2	1	3	0	0	0	918	306	50	24	-1	
3	1	3	1	0	0	918	306	50	24	-1	
4	1	3	1	1	0	918	306	50	24	-1	
5	1	3	1	1	1	918	306	50	24	95.818298	018
2	1	4	0	0	0	1397	306	50	24	-1	
3	1	4	1	0	0	1397	306	50	24	-1	
4	1	4	1	1	0	1397	306	50	24	-1	
5	1	4	1	1	1	1397	306	50	24	95.522301	019
2	1	5	0	0	0	1508	306	51	24	-1	
3	1	5	1	0	0	1508	306	51	24	-1	
4	1	5	1	1	0	1508	306	51	24	-1	
5	1	5	1	1	1	1508	306	51	24	96.555275	020
2	1	6	0	0	0	1629	306	49	24	-1	
3	1	6	1	0	0	1629	306	49	24	-1	
4	1	6	1	1	0	1629	306	49	24	-1	
5	1	6	1	1	1	1629	306	49	24	96.769974	021
2	1	7	0	0	0	1740	306	50	24	-1	
3	1	7	1	0	0	1740	306	50	24	-1	
4	1	7	1	1	0	1740	306	50	24	-1	
5	1	7	1	1	1	1740	306	50	24	96.913971	022
2	1	8	0	0	0	1853	306	51	24	-1	
3	1	8	1	0	0	1853	306	51	24	-1	
4	1	8	1	1	0	1853	306	51	24	-1	
5	1	8	1	1	1	1853	306	51	24	96.737831	023
2	1	9	0	0	0	1976	306	51	24	-1	
3	1	9	1	0	0	1976	306	51	24	-1	
4	1	9	1	1	0	1976	306	51	24	-1	
5	1	9	1	1	1	1976	306	51	24	96.810982	024
2	1	10	0	0	0	2091	306	50	24	-1	
3	1	10	1	0	0	2091	306	50	24	-1	
4	1	10	1	1	0	2091	306	50	24	-1	
5	1	10	1	1	1	2091	306	50	24	91.903404	025
2	1	11	0	0	0	2201	306	25	24	-1	
3	1	11	1	0	0	2201	306	25	24	-1	
4	1	11	1	1	0	2201	306	25	24	-1	
5	1	11	1	1	1	2201	306	25	24	85.766273	0:
2	1	12	0	0	0	901	363	77	9	-1	
3	1	12	1	0	0	901	363	77	9	-1	
4	1	12	1	1	0	901	363	77	9	-1	
5	1	12	1	1	1	901	363	25	9	20.600983	AREAS
