level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2226	1966	-1	
2	1	1	0	0	0	815	0	70	56	-1	
3	1	1	1	0	0	815	0	70	56	-1	
4	1	1	1	1	0	815	0	70	56	-1	
5	1	1	1	1	1	815	0	70	56	55.975044	IVI
2	1	2	0	0	0	0	306	6	19	-1	
3	1	2	1	0	0	0	306	6	19	-1	
4	1	2	1	1	0	0	306	6	19	-1	
5	1	2	1	1	1	0	306	6	19	8.793350	j
2	1	3	0	0	0	49	306	51	24	-1	
3	1	3	1	0	0	49	306	51	24	-1	
4	1	3	1	1	0	49	306	51	24	-1	
5	1	3	1	1	1	49	306	51	24	95.996025	018
2	1	4	0	0	0	158	306	51	24	-1	
3	1	4	1	0	0	158	306	51	24	-1	
4	1	4	1	1	0	158	306	51	24	-1	
5	1	4	1	1	1	158	306	51	24	96.697601	019
2	1	5	0	0	0	265	306	51	24	-1	
3	1	5	1	0	0	265	306	51	24	-1	
4	1	5	1	1	0	265	306	51	24	-1	
5	1	5	1	1	1	265	306	51	24	96.421089	020
2	1	6	0	0	0	378	306	50	24	-1	
3	1	6	1	0	0	378	306	50	24	-1	
4	1	6	1	1	0	378	306	50	24	-1	
5	1	6	1	1	1	378	306	50	24	96.548630	021
2	1	7	0	0	0	493	306	50	24	-1	
3	1	7	1	0	0	493	306	50	24	-1	
4	1	7	1	1	0	493	306	50	24	-1	
5	1	7	1	1	1	493	306	50	24	96.697708	022
2	1	8	0	0	0	606	306	50	24	-1	
3	1	8	1	0	0	606	306	50	24	-1	
4	1	8	1	1	0	606	306	50	24	-1	
5	1	8	1	1	1	606	306	50	24	96.531059	023
2	1	9	0	0	0	708	306	50	24	-1	
3	1	9	1	0	0	708	306	50	24	-1	
4	1	9	1	1	0	708	306	50	24	-1	
5	1	9	1	1	1	708	306	50	24	96.775429	024
2	1	10	0	0	0	822	306	50	24	-1	
3	1	10	1	0	0	822	306	50	24	-1	
4	1	10	1	1	0	822	306	50	24	-1	
5	1	10	1	1	1	822	306	50	24	96.635864	025
2	1	11	0	0	0	933	306	51	24	-1	
3	1	11	1	0	0	933	306	51	24	-1	
4	1	11	1	1	0	933	306	51	24	-1	
5	1	11	1	1	1	933	306	51	24	96.694016	026
2	1	12	0	0	0	1413	306	50	24	-1	
3	1	12	1	0	0	1413	306	50	24	-1	
4	1	12	1	1	0	1413	306	50	24	-1	
5	1	12	1	1	1	1413	306	50	24	96.835907	027
2	1	13	0	0	0	1659	306	51	24	-1	
3	1	13	1	0	0	1659	306	51	24	-1	
4	1	13	1	1	0	1659	306	51	24	-1	
5	1	13	1	1	1	1659	306	51	24	96.432014	028
2	1	14	0	0	0	1816	306	51	24	-1	
3	1	14	1	0	0	1816	306	51	24	-1	
4	1	14	1	1	0	1816	306	51	24	-1	
5	1	14	1	1	1	1816	306	51	24	96.573357	029
2	1	15	0	0	0	1076	341	27	42	-1	
3	1	15	1	0	0	1076	341	27	42	-1	
4	1	15	1	1	0	1076	341	27	42	-1	
5	1	15	1	1	1	1076	341	27	42	89.992790	J
2	1	16	0	0	0	1437	353	43	9	-1	
3	1	16	1	0	0	1437	353	43	9	-1	
4	1	16	1	1	0	1437	353	43	9	-1	
5	1	16	1	1	1	1437	353	43	9	0.000000	stcoma
2	1	17	0	0	0	2	395	106	9	-1	
3	1	17	1	0	0	2	395	106	9	-1	
4	1	17	1	1	0	2	395	106	9	-1	
5	1	17	1	1	1	2	395	13	9	32.259460	me
5	1	17	1	1	2	21	385	14	28	43.783607	HH]
5	1	17	1	1	3	37	395	25	9	0.000000	ance
5	1	17	1	1	4	73	395	35	9	0.000000	ra28
2	1	18	0	0	0	143	395	133	9	-1	
3	1	18	1	0	0	143	395	133	9	-1	
4	1	18	1	1	0	143	395	133	9	-1	
5	1	18	1	1	1	143	395	77	9	14.102081	wea:702000
5	1	18	1	1	2	227	385	17	28	50.099251	|i}
5	1	18	1	1	3	251	395	25	9	19.684769	ante
2	1	19	0	0	0	286	395	41	9	-1	
3	1	19	1	0	0	286	395	41	9	-1	
4	1	19	1	1	0	286	395	41	9	-1	
5	1	19	1	1	1	286	395	41	9	41.039169	709990
2	1	20	0	0	0	361	395	77	9	-1	
3	1	20	1	0	0	361	395	77	9	-1	
4	1	20	1	1	0	361	395	77	9	-1	
5	1	20	1	1	1	361	395	26	9	15.398216	tA
5	1	20	1	1	2	397	395	41	9	24.797318	220
2	1	21	0	0	0	477	395	76	9	-1	
3	1	21	1	0	0	477	395	76	9	-1	
4	1	21	1	1	0	477	395	76	9	-1	
5	1	21	1	1	1	477	395	25	8	0.000000	ata
5	1	21	1	1	2	512	395	41	9	60.505894	21.0390
2	1	22	0	0	0	588	395	25	9	-1	
3	1	22	1	0	0	588	395	25	9	-1	
4	1	22	1	1	0	588	395	25	9	-1	
5	1	22	1	1	1	588	395	25	9	30.696991	ara
2	1	23	0	0	0	623	395	252	9	-1	
3	1	23	1	0	0	623	395	252	9	-1	
4	1	23	1	1	0	623	395	252	9	-1	
5	1	23	1	1	1	623	395	42	9	40.286823	raceme
5	1	23	1	1	2	672	385	15	28	67.440849	HH]
5	1	23	1	1	3	691	395	25	9	39.958920	sca
5	1	23	1	1	4	727	395	41	9	0.000000	ascow2
5	1	23	1	1	5	775	385	12	28	52.376434	|]
5	1	23	1	1	6	798	395	25	9	18.537643	ara
5	1	23	1	1	7	833	395	11	9	7.909943	22
5	1	23	1	1	8	847	385	28	28	7.909943	C002
2	1	24	0	0	0	924	395	77	9	-1	
3	1	24	1	0	0	924	395	77	9	-1	
4	1	24	1	1	0	924	395	77	9	-1	
5	1	24	1	1	1	924	395	25	9	41.141720	MA
5	1	24	1	1	2	959	395	42	9	24.459259	TOE
2	1	25	0	0	0	1155	393	42	11	-1	
3	1	25	1	0	0	1155	393	42	11	-1	
4	1	25	1	1	0	1155	393	42	11	-1	
5	1	25	1	1	1	1155	393	42	11	38.479561	Lossy
2	1	26	0	0	0	1649	395	18	9	-1	
3	1	26	1	0	0	1649	395	18	9	-1	
4	1	26	1	1	0	1649	395	18	9	-1	
5	1	26	1	1	1	1649	395	18	9	49.994766	we)
2	1	27	0	0	0	1684	395	41	9	-1	
3	1	27	1	0	0	1684	395	41	9	-1	
4	1	27	1	1	0	1684	395	41	9	-1	
5	1	27	1	1	1	1684	395	41	9	5.976624	zw
2	1	28	0	0	0	1821	395	76	9	-1	
3	1	28	1	0	0	1821	395	76	9	-1	
4	1	28	1	1	0	1821	395	76	9	-1	
5	1	28	1	1	1	1821	395	25	9	55.789570	Wen:
5	1	28	1	1	2	1862	395	35	9	59.261055	370000
2	1	29	0	0	0	1054	408	49	45	-1	
3	1	29	1	0	0	1054	408	49	45	-1	
4	1	29	1	1	0	1054	408	49	45	-1	
5	1	29	1	1	1	1054	408	49	45	72.714096	x]
2	1	30	0	0	0	1037	464	106	18	-1	
3	1	30	1	0	0	1037	464	106	18	-1	
4	1	30	1	1	0	1037	464	106	18	-1	
5	1	30	1	1	1	1037	464	106	18	21.491325	EEL
5	1	30	1	1	2	1141	450	6	36	71.104218	|
2	1	31	0	0	0	1059	487	68	17	-1	
3	1	31	1	0	0	1059	487	68	17	-1	
4	1	31	1	1	0	1059	487	68	17	-1	
