level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2226	1862	-1	
2	1	1	0	0	0	6	777	286	49	-1	
3	1	1	1	0	0	6	777	286	49	-1	
4	1	1	1	1	0	6	777	286	49	-1	
5	1	1	1	1	1	6	777	89	49	96.745590	ING
5	1	1	1	1	2	125	773	167	74	95.733643	TITLE:
2	1	2	0	0	0	1767	807	292	39	-1	
3	1	2	1	0	0	1767	807	292	39	-1	
4	1	2	1	1	0	1767	807	292	39	-1	
5	1	2	1	1	1	1767	807	125	39	95.723770	FIRST
5	1	2	1	1	2	1910	807	149	39	96.748566	FLOOR
2	1	3	0	0	0	0	905	952	75	-1	
3	1	3	1	0	0	0	905	952	75	-1	
4	1	3	1	1	0	0	905	952	75	-1	
5	1	3	1	1	1	0	907	73	71	4.548508	»T
5	1	3	1	1	2	109	905	287	75	96.324936	FLOOR
5	1	3	1	1	3	433	905	267	75	96.523125	SALES
5	1	3	1	1	4	741	907	211	71	96.857254	PLAN
2	1	4	0	0	0	1690	947	121	37	-1	
3	1	4	1	0	0	1690	947	121	37	-1	
4	1	4	1	1	0	1690	947	121	37	-1	
5	1	4	1	1	1	1690	947	121	37	96.981461	AREA
2	1	5	0	0	0	2121	947	105	39	-1	
3	1	5	1	0	0	2121	947	105	39	-1	
4	1	5	1	1	0	2121	947	105	39	-1	
5	1	5	1	1	1	2121	947	105	39	96.829102	LEAS
2	1	6	0	0	0	1693	1052	182	38	-1	
3	1	6	1	0	0	1693	1052	182	38	-1	
4	1	6	1	1	0	1693	1052	182	38	-1	
5	1	6	1	1	1	1693	1052	182	38	96.481110	2241.30
2	1	7	0	0	0	1692	1155	154	39	-1	
3	1	7	1	0	0	1692	1155	154	39	-1	
4	1	7	1	1	0	1692	1155	154	39	-1	
5	1	7	1	1	1	1692	1155	154	39	96.493507	990.50
2	1	8	0	0	0	55	1273	177	49	-1	
3	1	8	1	0	0	55	1273	177	49	-1	
4	1	8	1	1	0	55	1273	177	49	-1	
5	1	8	1	1	1	55	1273	177	49	96.942917	SCALE
2	1	9	0	0	0	1692	1257	154	39	-1	
3	1	9	1	0	0	1692	1257	154	39	-1	
4	1	9	1	1	0	1692	1257	154	39	-1	
5	1	9	1	1	1	1692	1257	154	39	96.579956	984.00
2	1	10	0	0	0	1694	1361	181	39	-1	
3	1	10	1	0	0	1694	1361	181	39	-1	
4	1	10	1	1	0	1694	1361	181	39	-1	
5	1	10	1	1	1	1694	1361	181	39	96.787285	1480.00
2	1	11	0	0	0	57	1449	213	47	-1	
3	1	11	1	0	0	57	1449	213	47	-1	
4	1	11	1	1	0	57	1449	213	47	-1	
5	1	11	1	1	1	57	1449	213	47	96.636765	DRAWN
2	1	12	0	0	0	1407	1480	119	31	-1	
3	1	12	1	0	0	1407	1480	119	31	-1	
4	1	12	1	1	0	1407	1480	119	31	-1	
5	1	12	1	1	1	1407	1480	119	31	96.528168	TOTAL
2	1	13	0	0	0	1693	1475	153	39	-1	
3	1	13	1	0	0	1693	1475	153	39	-1	
4	1	13	1	1	0	1693	1475	153	39	-1	
5	1	13	1	1	1	1693	1475	153	39	95.171829	5695.8
