level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2226	1860	-1	
2	1	1	0	0	0	493	1799	51	23	-1	
3	1	1	1	0	0	493	1799	51	23	-1	
4	1	1	1	1	0	493	1799	51	23	-1	
5	1	1	1	1	1	493	1799	51	23	95.838470	014
2	1	2	0	0	0	657	1799	49	23	-1	
3	1	2	1	0	0	657	1799	49	23	-1	
4	1	2	1	1	0	657	1799	49	23	-1	
5	1	2	1	1	1	657	1799	49	23	96.776741	015
2	1	3	0	0	0	877	1799	51	23	-1	
3	1	3	1	0	0	877	1799	51	23	-1	
4	1	3	1	1	0	877	1799	51	23	-1	
5	1	3	1	1	1	877	1799	51	23	96.131973	016
2	1	4	0	0	0	1352	1799	50	23	-1	
3	1	4	1	0	0	1352	1799	50	23	-1	
4	1	4	1	1	0	1352	1799	50	23	-1	
5	1	4	1	1	1	1352	1799	50	23	96.192818	018
2	1	5	0	0	0	1456	1799	50	23	-1	
3	1	5	1	0	0	1456	1799	50	23	-1	
4	1	5	1	1	0	1456	1799	50	23	-1	
5	1	5	1	1	1	1456	1799	50	23	96.006439	019
2	1	6	0	0	0	1578	1799	50	23	-1	
3	1	6	1	0	0	1578	1799	50	23	-1	
4	1	6	1	1	0	1578	1799	50	23	-1	
5	1	6	1	1	1	1578	1799	50	23	96.332100	020
2	1	7	0	0	0	1693	1799	49	23	-1	
3	1	7	1	0	0	1693	1799	49	23	-1	
4	1	7	1	1	0	1693	1799	49	23	-1	
5	1	7	1	1	1	1693	1799	49	23	96.894043	021
2	1	8	0	0	0	1807	1799	49	23	-1	
3	1	8	1	0	0	1807	1799	49	23	-1	
4	1	8	1	1	0	1807	1799	49	23	-1	
5	1	8	1	1	1	1807	1799	49	23	96.956764	022
2	1	9	0	0	0	1923	1799	49	23	-1	
3	1	9	1	0	0	1923	1799	49	23	-1	
4	1	9	1	1	0	1923	1799	49	23	-1	
5	1	9	1	1	1	1923	1799	49	23	96.894135	023
2	1	10	0	0	0	2041	1799	51	23	-1	
3	1	10	1	0	0	2041	1799	51	23	-1	
4	1	10	1	1	0	2041	1799	51	23	-1	
5	1	10	1	1	1	2041	1799	51	23	96.386909	024
2	1	11	0	0	0	2149	1799	49	23	-1	
3	1	11	1	0	0	2149	1799	49	23	-1	
4	1	11	1	1	0	2149	1799	49	23	-1	
5	1	11	1	1	1	2149	1799	49	23	96.905952	025
2	1	12	0	0	0	851	1849	76	8	-1	
3	1	12	1	0	0	851	1849	76	8	-1	
4	1	12	1	1	0	851	1849	76	8	-1	
5	1	12	1	1	1	851	1849	24	8	35.593559	MA
5	1	12	1	1	2	886	1849	41	8	62.591442	002
2	1	13	0	0	0	1165	1827	49	24	-1	
3	1	13	1	0	0	1165	1827	49	24	-1	
4	1	13	1	1	0	1165	1827	49	24	-1	
5	1	13	1	1	1	1165	1827	49	24	95.833450	017
