level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2226	1966	-1	
2	1	1	0	0	0	29	151	51	24	-1	
3	1	1	1	0	0	29	151	51	24	-1	
4	1	1	1	1	0	29	151	51	24	-1	
5	1	1	1	1	1	29	151	51	24	96.834167	045
2	1	2	0	0	0	159	150	51	24	-1	
3	1	2	1	0	0	159	150	51	24	-1	
4	1	2	1	1	0	159	150	51	24	-1	
5	1	2	1	1	1	159	150	51	24	96.912613	044
2	1	3	0	0	0	287	150	51	25	-1	
3	1	3	1	0	0	287	150	51	25	-1	
4	1	3	1	1	0	287	150	51	25	-1	
5	1	3	1	1	1	287	150	51	25	96.967941	043
2	1	4	0	0	0	409	150	50	24	-1	
3	1	4	1	0	0	409	150	50	24	-1	
4	1	4	1	1	0	409	150	50	24	-1	
5	1	4	1	1	1	409	150	50	24	95.545532	042
2	1	5	0	0	0	517	151	51	23	-1	
3	1	5	1	0	0	517	151	51	23	-1	
4	1	5	1	1	0	517	151	51	23	-1	
5	1	5	1	1	1	517	151	51	23	95.901405	041
2	1	6	0	0	0	627	150	51	24	-1	
3	1	6	1	0	0	627	150	51	24	-1	
4	1	6	1	1	0	627	150	51	24	-1	
5	1	6	1	1	1	627	150	51	24	96.947006	040
2	1	7	0	0	0	730	150	51	25	-1	
3	1	7	1	0	0	730	150	51	25	-1	
4	1	7	1	1	0	730	150	51	25	-1	
5	1	7	1	1	1	730	150	51	25	96.934372	039
2	1	8	0	0	0	847	150	50	25	-1	
3	1	8	1	0	0	847	150	50	25	-1	
4	1	8	1	1	0	847	150	50	25	-1	
5	1	8	1	1	1	847	150	50	25	96.960808	038
2	1	9	0	0	0	978	150	50	25	-1	
3	1	9	1	0	0	978	150	50	25	-1	
4	1	9	1	1	0	978	150	50	25	-1	
5	1	9	1	1	1	978	150	50	25	96.638908	037
2	1	10	0	0	0	1164	150	50	25	-1	
3	1	10	1	0	0	1164	150	50	25	-1	
4	1	10	1	1	0	1164	150	50	25	-1	
5	1	10	1	1	1	1164	150	50	25	96.983101	036
2	1	11	0	0	0	1714	150	50	25	-1	
3	1	11	1	0	0	1714	150	50	25	-1	
4	1	11	1	1	0	1714	150	50	25	-1	
5	1	11	1	1	1	1714	150	50	25	95.721817	013
2	1	12	0	0	0	1888	151	52	23	-1	
3	1	12	1	0	0	1888	151	52	23	-1	
4	1	12	1	1	0	1888	151	52	23	-1	
