level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2106	1966	-1	
2	1	1	0	0	0	1381	0	106	25	-1	
3	1	1	1	0	0	1381	0	106	25	-1	
4	1	1	1	1	0	1381	0	106	25	-1	
5	1	1	1	1	1	1381	0	106	25	0.000000	{=
2	1	2	0	0	0	1401	37	37	25	-1	
3	1	2	1	0	0	1401	37	37	25	-1	
4	1	2	1	1	0	1401	37	37	25	-1	
5	1	2	1	1	1	1401	37	37	25	66.411926	Ly
2	1	3	0	0	0	1276	89	100	25	-1	
3	1	3	1	0	0	1276	89	100	25	-1	
4	1	3	1	1	0	1276	89	100	25	-1	
5	1	3	1	1	1	1276	89	100	25	57.302200	[ooo
2	1	4	0	0	0	1348	127	62	9	-1	
3	1	4	1	0	0	1348	127	62	9	-1	
4	1	4	1	1	0	1348	127	62	9	-1	
5	1	4	1	1	1	1348	127	39	9	71.161316	FEMALE
5	1	4	1	1	2	1407	128	3	8	84.357590	TOL
2	1	5	0	0	0	1720	117	50	25	-1	
3	1	5	1	0	0	1720	117	50	25	-1	
4	1	5	1	1	0	1720	117	50	25	-1	
5	1	5	1	1	1	1720	117	50	25	91.695641	015
2	1	6	0	0	0	1276	149	68	32	-1	
3	1	6	1	0	0	1276	149	68	32	-1	
4	1	6	1	1	0	1276	149	68	32	-1	
5	1	6	1	1	1	1276	149	68	32	37.905701	Pa
2	1	7	0	0	0	1265	187	205	32	-1	
3	1	7	1	0	0	1265	187	205	32	-1	
4	1	7	1	1	0	1265	187	205	32	-1	
5	1	7	1	1	1	1265	187	45	32	62.153999	pe
5	1	7	1	1	2	1351	188	17	19	59.344601	ILO
5	1	7	1	1	3	1428	193	42	26	35.995461	a
2	1	8	0	0	0	1851	195	51	23	-1	
3	1	8	1	0	0	1851	195	51	23	-1	
4	1	8	1	1	0	1851	195	51	23	-1	
5	1	8	1	1	1	1851	195	51	23	96.518173	014
2	1	9	0	0	0	1994	194	50	25	-1	
3	1	9	1	0	0	1994	194	50	25	-1	
4	1	9	1	1	0	1994	194	50	25	-1	
5	1	9	1	1	1	1994	194	50	25	96.352798	013
2	1	10	0	0	0	1297	220	56	10	-1	
3	1	10	1	0	0	1297	220	56	10	-1	
4	1	10	1	1	0	1297	220	56	10	-1	
5	1	10	1	1	1	1297	220	56	10	55.623127	—
2	1	11	0	0	0	1311	233	43	9	-1	
3	1	11	1	0	0	1311	233	43	9	-1	
4	1	11	1	1	0	1311	233	43	9	-1	
5	1	11	1	1	1	1311	233	43	9	14.542618	——=
2	1	12	0	0	0	1381	233	45	9	-1	
3	1	12	1	0	0	1381	233	45	9	-1	
4	1	12	1	1	0	1381	233	45	9	-1	
5	1	12	1	1	1	1381	233	45	9	76.972260	—
2	1	13	0	0	0	1383	225	20	5	-1	
3	1	13	1	0	0	1383	225	20	5	-1	
4	1	13	1	1	0	1383	225	20	5	-1	
5	1	13	1	1	1	1383	225	20	5	70.161499	—
2	1	14	0	0	0	1293	256	17	16	-1	
3	1	14	1	0	0	1293	256	17	16	-1	
4	1	14	1	1	0	1293	256	17	16	-1	
5	1	14	1	1	1	1293	256	17	16	92.059761	U
2	1	15	0	0	0	1351	256	17	22	-1	
3	1	15	1	0	0	1351	256	17	22	-1	
4	1	15	1	1	0	1351	256	17	22	-1	
5	1	15	1	1	1	1351	256	17	22	91.508461	U
2	1	16	0	0	0	1823	257	25	9	-1	
3	1	16	1	0	0	1823	257	25	9	-1	
4	1	16	1	1	0	1823	257	25	9	-1	
5	1	16	1	1	1	1823	257	25	9	39.435978	wen
2	1	17	0	0	0	1880	257	4	8	-1	
3	1	17	1	0	0	1880	257	4	8	-1	
4	1	17	1	1	0	1880	257	4	8	-1	
5	1	17	1	1	1	1880	257	4	8	0.000000	”
2	1	18	0	0	0	1983	257	25	9	-1	
3	1	18	1	0	0	1983	257	25	9	-1	
4	1	18	1	1	0	1983	257	25	9	-1	
5	1	18	1	1	1	1983	257	25	9	46.856197	aren
2	1	19	0	0	0	2040	257	4	8	-1	
3	1	19	1	0	0	2040	257	4	8	-1	
4	1	19	1	1	0	2040	257	4	8	-1	
5	1	19	1	1	1	2040	257	4	8	0.000000	”
2	1	20	0	0	0	1276	283	74	31	-1	
3	1	20	1	0	0	1276	283	74	31	-1	
4	1	20	1	1	0	1276	283	74	31	-1	
5	1	20	1	1	1	1276	283	74	31	40.391991	pel)
2	1	21	0	0	0	1348	327	46	9	-1	
3	1	21	1	0	0	1348	327	46	9	-1	
4	1	21	1	1	0	1348	327	46	9	-1	
5	1	21	1	1	1	1348	327	27	9	45.717373	MAE
5	1	21	1	1	2	1380	317	14	28	52.689266	TO!
2	1	22	0	0	0	1583	395	147	31	-1	
