level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2226	1860	-1	
2	1	1	0	0	0	203	1241	919	70	-1	
3	1	1	1	0	0	203	1241	919	70	-1	
4	1	1	1	1	0	203	1241	919	70	-1	
5	1	1	1	1	1	203	1241	313	70	94.858200	STREET
5	1	1	1	1	2	550	1241	224	70	93.280891	18.00
5	1	1	1	1	3	814	1242	56	68	89.838066	M
5	1	1	1	1	4	907	1242	215	68	96.420517	WIDE
2	1	2	0	0	0	883	1431	142	38	-1	
3	1	2	1	0	0	883	1431	142	38	-1	
4	1	2	1	1	0	883	1431	142	38	-1	
5	1	2	1	1	1	883	1431	142	38	96.677002	209.00
2	1	3	0	0	0	1939	1431	141	38	-1	
3	1	3	1	0	0	1939	1431	141	38	-1	
4	1	3	1	1	0	1939	1431	141	38	-1	
5	1	3	1	1	1	1939	1431	141	38	96.086433	209.50
2	1	4	0	0	0	909	1502	71	71	-1	
3	1	4	1	0	0	909	1502	71	71	-1	
4	1	4	1	1	0	909	1502	71	71	-1	
5	1	4	1	1	1	909	1502	71	71	24.438759	a
