level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2226	1966	-1	
2	1	1	0	0	0	290	0	70	8	-1	
3	1	1	1	0	0	290	0	70	8	-1	
4	1	1	1	1	0	290	0	70	8	-1	
5	1	1	1	1	1	290	0	70	8	0.000000	aEcesens
2	1	2	0	0	0	7	2	47	22	-1	
3	1	2	1	0	0	7	2	47	22	-1	
4	1	2	1	1	0	7	2	47	22	-1	
5	1	2	1	1	1	7	2	47	22	96.200264	036
2	1	3	0	0	0	2009	0	55	44	-1	
3	1	3	1	0	0	2009	0	55	44	-1	
4	1	3	1	1	0	2009	0	55	44	-1	
5	1	3	1	1	1	2009	0	55	44	71.496201	Vv
2	1	4	0	0	0	1985	53	91	17	-1	
3	1	4	1	0	0	1985	53	91	17	-1	
4	1	4	1	1	0	1985	53	91	17	-1	
5	1	4	1	1	1	1985	53	91	17	82.912407	UPTOFR
2	1	5	0	0	0	2168	53	58	17	-1	
3	1	5	1	0	0	2168	53	58	17	-1	
4	1	5	1	1	0	2168	53	58	17	-1	
5	1	5	1	1	1	2168	53	28	17	55.508789	DN
5	1	5	1	1	2	2205	53	21	17	55.508789	FR
2	1	6	0	0	0	690	103	15	7	-1	
3	1	6	1	0	0	690	103	15	7	-1	
4	1	6	1	1	0	690	103	15	7	-1	
5	1	6	1	1	1	690	103	15	7	37.335457	wor
2	1	7	0	0	0	722	103	38	7	-1	
3	1	7	1	0	0	722	103	38	7	-1	
4	1	7	1	1	0	722	103	38	7	-1	
5	1	7	1	1	1	722	103	38	7	18.580215	une
2	1	8	0	0	0	803	103	23	7	-1	
3	1	8	1	0	0	803	103	23	7	-1	
4	1	8	1	1	0	803	103	23	7	-1	
5	1	8	1	1	1	803	103	23	7	48.988289	on
2	1	9	0	0	0	910	103	15	7	-1	
3	1	9	1	0	0	910	103	15	7	-1	
4	1	9	1	1	0	910	103	15	7	-1	
5	1	9	1	1	1	910	103	15	7	33.814980	woe
2	1	10	0	0	0	942	103	34	7	-1	
3	1	10	1	0	0	942	103	34	7	-1	
4	1	10	1	1	0	942	103	34	7	-1	
5	1	10	1	1	1	942	103	34	7	12.447662	cron
2	1	11	0	0	0	1023	103	65	7	-1	
3	1	11	1	0	0	1023	103	65	7	-1	
4	1	11	1	1	0	1023	103	65	7	-1	
5	1	11	1	1	1	1019	91	26	28	52.207069	wea
5	1	11	1	1	2	1056	91	21	28	0.000000	ase
5	1	11	1	1	3	1081	91	11	28	0.000000	w:
2	1	12	0	0	0	1358	103	15	7	-1	
3	1	12	1	0	0	1358	103	15	7	-1	
4	1	12	1	1	0	1358	103	15	7	-1	
5	1	12	1	1	1	1358	103	15	7	44.567207	wer
2	1	13	0	0	0	1504	103	66	7	-1	
3	1	13	1	0	0	1504	103	66	7	-1	
4	1	13	1	1	0	1504	103	66	7	-1	
5	1	13	1	1	1	1504	103	23	7	32.611328	seen
5	1	13	1	1	2	1541	103	29	7	0.000000	yeu
2	1	14	0	0	0	1745	103	70	7	-1	
3	1	14	1	0	0	1745	103	70	7	-1	
4	1	14	1	1	0	1745	103	70	7	-1	
5	1	14	1	1	1	1745	103	22	7	40.748714	aren
5	1	14	1	1	2	1790	103	9	7	0.000000	see
5	1	14	1	1	3	1803	103	12	7	0.000000	we
2	1	15	0	0	0	1875	34	58	56	-1	
3	1	15	1	0	0	1875	34	58	56	-1	
4	1	15	1	1	0	1875	34	58	56	-1	
5	1	15	1	1	1	1875	34	58	56	54.540253	\
2	1	16	0	0	0	476	103	70	8	-1	
3	1	16	1	0	0	476	103	70	8	-1	
