level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2226	1862	-1	
2	1	1	0	0	0	146	284	920	70	-1	
3	1	1	1	0	0	146	284	920	70	-1	
4	1	1	1	1	0	146	284	920	70	-1	
5	1	1	1	1	1	146	284	312	70	94.650002	STREET
5	1	1	1	1	2	491	284	227	70	89.732300	29.00
5	1	1	1	1	3	757	285	56	68	89.732300	M
5	1	1	1	1	4	850	285	216	68	96.652985	WIDE
2	1	2	0	0	0	375	777	583	37	-1	
3	1	2	1	0	0	375	777	583	37	-1	
4	1	2	1	1	0	375	777	583	37	-1	
5	1	2	1	1	1	375	778	283	36	96.548409	AMENDMENT
5	1	2	1	1	2	675	777	283	37	96.387085	DESCRIPTION
2	1	3	0	0	0	1481	778	110	36	-1	
3	1	3	1	0	0	1481	778	110	36	-1	
4	1	3	1	1	0	1481	778	110	36	-1	
5	1	3	1	1	1	1481	778	110	36	96.898064	DATE
2	1	4	0	0	0	1811	777	415	49	-1	
3	1	4	1	0	0	1811	777	415	49	-1	
4	1	4	1	1	0	1811	777	415	49	-1	
5	1	4	1	1	1	1811	777	275	49	92.547035	DRAWING
5	1	4	1	1	2	2109	779	117	47	91.034355	TITL
2	1	5	0	0	0	249	861	840	51	-1	
3	1	5	1	0	0	249	861	840	51	-1	
4	1	5	1	1	0	249	861	840	51	-1	
5	1	5	1	1	1	249	861	111	51	60.412033	ASTER
5	1	5	1	1	2	410	877	20	35	93.176147	PLAN
5	1	5	1	1	3	534	876	25	36	93.176147	&
5	1	5	1	1	4	579	876	360	36	96.620483	ARCHITECTURAL
5	1	5	1	1	5	957	876	132	36	96.190308	PLANS
2	1	6	0	0	0	1415	881	217	36	-1	
3	1	6	1	0	0	1415	881	217	36	-1	
4	1	6	1	1	0	1415	881	217	36	-1	
5	1	6	1	1	1	1415	881	217	36	92.691772	18-3-2026
2	1	7	0	0	0	1791	920	435	52	-1	
3	1	7	1	0	0	1791	920	435	52	-1	
4	1	7	1	1	0	1791	920	435	52	-1	
5	1	7	1	1	1	1791	916	243	78	93.097679	GROUND
5	1	7	1	1	2	2073	916	150	78	37.143333	FLOC¢
2	1	8	0	0	0	219	970	870	36	-1	
3	1	8	1	0	0	219	970	870	36	-1	
4	1	8	1	1	0	219	970	870	36	-1	
5	1	8	1	1	1	219	970	172	36	96.049431	MASTER
5	1	8	1	1	2	410	971	104	35	93.084167	PLAN
5	1	8	1	1	3	534	970	29	36	93.084167	&
5	1	8	1	1	4	579	970	360	36	95.735214	ARCHITECTURAL
5	1	8	1	1	5	957	970	132	36	96.819191	PLANS
2	1	9	0	0	0	1414	975	218	36	-1	
3	1	9	1	0	0	1414	975	218	36	-1	
4	1	9	1	1	0	1414	975	218	36	-1	
5	1	9	1	1	1	1414	975	218	36	91.474884	29-3-2026
2	1	10	0	0	0	219	1057	870	37	-1	
3	1	10	1	0	0	219	1057	870	37	-1	
4	1	10	1	1	0	219	1057	870	37	-1	
5	1	10	1	1	1	219	1057	172	37	96.590614	MASTER
5	1	10	1	1	2	410	1057	104	36	93.162224	PLAN
5	1	10	1	1	3	534	1057	29	37	93.162224	&
5	1	10	1	1	4	579	1057	359	37	96.341988	ARCHITECTURAL
5	1	10	1	1	5	957	1057	132	37	96.148636	PLANS
2	1	11	0	0	0	1429	1061	189	37	-1	
3	1	11	1	0	0	1429	1061	189	37	-1	
4	1	11	1	1	0	1429	1061	189	37	-1	
5	1	11	1	1	1	1429	1061	189	37	96.830185	1-4-2026
2	1	12	0	0	0	219	1145	871	36	-1	
3	1	12	1	0	0	219	1145	871	36	-1	
4	1	12	1	1	0	219	1145	871	36	-1	
5	1	12	1	1	1	219	1145	171	36	96.710716	MASTER
5	1	12	1	1	2	410	1145	104	35	93.116486	PLAN
5	1	12	1	1	3	534	1145	29	36	93.116486	&
5	1	12	1	1	4	579	1145	359	36	96.004997	ARCHITECTURAL
5	1	12	1	1	5	957	1145	133	36	96.576111	PLANS
2	1	13	0	0	0	1415	1149	217	37	-1	
3	1	13	1	0	0	1415	1149	217	37	-1	
4	1	13	1	1	0	1415	1149	217	37	-1	
5	1	13	1	1	1	1415	1149	217	37	92.619644	11-4-2026
2	1	14	0	0	0	219	1232	870	36	-1	
3	1	14	1	0	0	219	1232	870	36	-1	
4	1	14	1	1	0	219	1232	870	36	-1	
5	1	14	1	1	1	219	1232	172	36	96.487740	MASTER
